NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1470,E1330500021201,平井・生涯青春ふれあい総合福祉センター,東京都日の出町平井4118,1,1,,1,,,1,,1,35.7431533223249,139.27475587495,
1471,E1321200001201,コニカミノルタ日野グラウンド,東京都日野市さくら町1,1,,,1,,1,,,,35.66797356,139.3759914,
1472,E1321200003201,旭が丘東公園,東京都日野市旭が丘1-18-1,1,,,1,,1,,,,35.656278,139.373464,
1473,E1321200004201,日野第四中学校（校庭）,東京都日野市旭が丘2-42,1,,,1,,1,,,1,35.66119155,139.3692722,
1474,E1321200009201,旭が丘小学校（校庭）,東京都日野市旭が丘5-21-1,1,,,1,,1,,,1,35.65900996,139.3601485,
1475,E1321200010201,東京都立大学日野キャンパス（校庭一部）,東京都日野市旭が丘6-6,1,,,1,,1,,,,35.661077777072,139.36620746223,
1476,E1321200012201,東光寺グラウンド,東京都日野市栄町3-15,,,,1,,1,,,,35.686612661784,139.38315731349,
1477,E1321200013201,潤徳小学校（校庭）,東京都日野市高幡402,,,,1,,1,,,1,35.663886204796,139.41395885004,
1478,E1321200014201,高幡不動尊（境内一部）,東京都日野市高幡733,1,,,1,,1,,,,35.661662414177,139.4106055086,
1479,E1321200016201,三沢中学校（校庭）,東京都日野市三沢1-17-4,1,,,1,,1,,,1,35.65992123,139.4226499,
1480,E1321200017201,日野第八小学校（校庭）,東京都日野市三沢200,1,,,1,,1,,,1,35.66100407,139.4237234,
1481,E1321200023201,東光寺小学校（校庭）,東京都日野市新町3-24-1,1,,,1,,1,,,1,35.68134905,139.3845454,
1482,E1321200024201,日野自動車（株）総合グラウンド,東京都日野市新町5-18,1,,,1,,1,,,,35.682413799396,139.37636191045,
1483,E1321200025201,日野中央公園,東京都日野市神明2-13-2,1,,,1,,1,,,,35.67093338,139.3940586,
1484,E1321200027201,日野第七小学校（校庭）,東京都日野市神明3-2,1,,,1,,1,,,1,35.6723027,139.3926388,
1485,E1321200028201,滝合小学校（校庭）,東京都日野市西平山2-3-1,,,,1,,1,,,1,35.64501796,139.372968,
1486,E1321200029201,都立日野高等学校（校庭一部）,東京都日野市石田1-190-1,,,,1,,1,,,,35.6667196,139.4258805,
1487,E1321200030201,北川原公園,東京都日野市石田1-236,,,,1,,1,,,,35.672135825754,139.42274781985,
1488,E1321200031201,日野第四小学校（校庭）,東京都日野市石田430,,,,1,,1,,,1,35.677379997228,139.41712903929,
1489,E1321200032201,駒形公園,東京都日野市川辺堀之内先,,,,1,,1,,,,35.66542546,139.4013892,
1490,E1321200037201,日野第六小学校（校庭）,東京都日野市多摩平3-21,1,,,1,,1,,,1,35.66446655,139.3745717,
1491,E1321200038201,多摩平の森,東京都日野市多摩平4-10,1,,,1,,1,,,,35.66759184,139.3843909,
1492,E1321200039201,多摩平第一公園,東京都日野市多摩平4-2,1,,,1,,1,,,,35.66692974449,139.37958701164,
1493,E1321200040201,日野第二中学校（校庭）,東京都日野市多摩平4-5-2,1,,,1,,1,,,1,35.66497446,139.3801057,
1494,E1321200041201,日野第五小学校（校庭）,東京都日野市多摩平6-21-1,1,,,1,,1,,,1,35.66971713,139.3828429,
1495,E1321200043201,実践女子大学（校庭一部）,東京都日野市大坂上4-1-1,1,,,1,,1,,,,35.67091944,139.3899328,
1496,E1321200044201,大坂上中学校（校庭）,東京都日野市大坂上4-17-1,1,,,1,,1,,,1,35.67378014,139.3866035,
1497,E1321200046201,夢が丘小学校（校庭）,東京都日野市程久保1-14-2,1,,,1,,1,,,1,35.652464711049,139.40983014233,
1498,E1321200047201,明星大学（校庭一部）,東京都日野市程久保2-1-1,1,,,1,,1,,,,35.643341294965,139.40681521957,
1499,E1320100001201,明星大学,東京都日野市程久保2-1-1,,,,1,,,,,,35.644671800517,139.40710440413,想定収容人数：地震（屋外）5575人
1500,E1321200049201,教育センター（高幡台小跡地校庭）,東京都日野市程久保550,1,,,1,,1,,,,35.65191877,139.4109855,
1501,E1321200050201,日野第三中学校（校庭）,東京都日野市程久保650,1,,,1,,1,,,1,35.64899998,139.4112887,
1502,E1321200056201,豊田小学校（校庭）,東京都日野市東豊田2-14-1,1,,,1,,1,,,1,35.66049289,139.3896519,
1503,E1321200057201,かしまだい地区広場,東京都日野市南平1-10-43,1,,,1,,1,,,,35.657367756377,139.40392439325,
